"$","$"
"$10/month","$10/month"
"+ add new","+ add new"
"About Us","About Us"
"Account Help","Account Help"
"Account Information","Account Information"
"Account Name","Account Name"
"Account Payments","Account Payments"
"Account Settings","Account Settings"
"Account","Account"
"Active","Active"
"Add Amount","Add Amount"
"Add Email","Add Email"
"Add New","Add New"
"Add Player (+)","Add Player (+)"
"Add Player","Add Player"
"Add Video","Add Video"
"Add a Product","Add a Product"
"Add more media to your player for more exposure.","Add more media to your player for more exposure."
"Add to Player","Add to Player"
"Added to Price: Yes","Added to Price: Yes"
"Address","Address"
"Advanced Settings","Advanced Settings"
"Advanced","Advanced"
"Affiliate Tracking Link","Affiliate Tracking Link"
"Amount","Amount"
"Applies To: Texas","Applies To: Texas"
"Applies to Shipping: Yes","Applies to Shipping: Yes"
"Attract","Attract"
"Bandwidth","Bandwidth"
"Billing Information","Billing Information"
"Billing","Billing"
"Buy Now Text","Buy Now Text"
"CVV","CVV"
"Cached","Cached"
"Cancel","Cancel"
"Change Plan","Change Plan"
"Changing Passwords","Changing Passwords"
"Choose Plan","Choose Plan"
"Cinsay SSM","Cinsay SSM"
"Cinsay Smart Store Manager Login","Cinsay Smart Store Manager Login"
"City","City"
"Click here to create your PayPal Business Standard/Advanced or Pro Account","Click here to create your PayPal Business Standard/Advanced or Pro Account"
"Client Side Encryption Key","Client Side Encryption Key"
"Close Preview","Close Preview"
"Colors","Colors"
"Configure Shipping Rule","Configure Shipping Rule"
"Country","Country"
"Creating Players","Creating Players"
"Credit Card","Credit Card"
"Current Plan Usage","Current Plan Usage"
"Current Plan","Current Plan"
"Custom","Custom"
"Customize your players by adding videos, products, and publishing options.","Customize your players by adding videos, products, and publishing options."
"Default Currency","Default Currency"
"Default Locale","Default Locale"
"Default Tax Rate","Default Tax Rate"
"Delete","Delete"
"Delivery Method","Delivery Method"
"Description","Description"
"Disclaimer","Disclaimer"
"Donation Amounts","Donation Amounts"
"Donation Description","Donation Description"
"Donation Name","Donation Name"
"Donation Type","Donation Type"
"Donation","Donation"
"Edit Video","Edit Video"
"Edit a Product","Edit a Product"
"Edit","Edit"
"Email Address","Email Address"
"Email Address(es)","Email Address(es)"
"Email Addresses","Email Addresses"
"Email","Email"
"Embed Code","Embed Code"
"Encrypted","Encrypted"
"End of Video Link","End of Video Link"
"English (United States)","English (United States)"
"Enter the Video URL. Example","Enter the Video URL. Example"
"Environment","Environment"
"Expiration Month","Expiration Month"
"Expiration Year","Expiration Year"
"First Name","First Name"
"Flow background image","Flow background image"
"Forgot your password?","Forgot your password?"
"Form Destination URL","Form Destination URL"
"Form Email","Form Email"
"Form First Name","Form First Name"
"Form Last Name","Form Last Name"
"Form Phone Number","Form Phone Number"
"Form Zip","Form Zip"
"From Library","From Library"
"From...","From..."
"GB","GB"
"General Information","General Information"
"General","General"
"Go Back","Go Back"
"Go back","Go back"
"Headline","Headline"
"Help","Help"
"Home","Home"
"Host and Post Two Part","Host and Post Two Part"
"Host and Post","Host and Post"
"How to connect your PayPal account","How to connect your PayPal account"
"If you did not request a new password for your Cinsay account and feel that you have received the email that directed you here in error, please contact Cinsay support","If you did not request a new password for your Cinsay account and feel that you have received the email that directed you here in error, please contact Cinsay support"
"Image (3Mb Limit)","Image (3Mb Limit)"
"Image (3Mb limit)","Image (3Mb limit)"
"Image","Image"
"Important Notes and restrictions","Important Notes and restrictions"
"In addition to entering your PayPal email address in the form below, you must configure your PayPal Business Standard/Advanced or Pro Account to allow Smart Store eCommerce transactions to be processed using your PayPal account. You will need to do this even if you are already connected to other third party eCommerce providers.","In addition to entering your PayPal email address in the form below, you must configure your PayPal Business Standard/Advanced or Pro Account to allow Smart Store eCommerce transactions to be processed using your PayPal account. You will need to do this even if you are already connected to other third party eCommerce providers."
"Info Logo","Info Logo"
"Info Title","Info Title"
"Info","Info"
"Interact","Interact"
"Intro Page Options","Intro Page Options"
