"$","$"
"$10/month","$10/month"
"+ add new","+ Agregar Nuevo"
"About Us","Sobre Nosotros"
"Account Help","Cuenta Ayuda"
"Account Information","Información de la Cuenta"
"Account Name","Nombre de la Cuenta"
"Account Payments","Pagos de la Cuenta"
"Account Settings","Configuración de la Cuenta"
"Account","Cuenta"
"Active","Activo"
"Add Amount","Agregar importe"
"Add Email","Agregar Correo Electrónico"
"Add New","Agregar Nuevo"
"Add Player (+)","Agregar Reproductor (+)"
"Add Player","Agregar Reproductor"
"Add Video","Agregar Video"
"Add a Product","Agregar un Producto"
"Add more media to your player for more exposure.","Agregar más medios a su reproductor para más exposición."
"Add to Player","Agregar a Reproductor"
"Added to Price: Yes","Precio Agregado: Sí"
"Address","Dirección"
"Advanced Settings","Configuración Avanzada"
"Advanced","Avanzada"
"Affiliate Tracking Link","Afiliado de seguimiento de vínculos"
"Amount","Monto"
"Applies To: Texas","Aplicar a: Texas"
"Applies to Shipping: Yes","Aplicar Envio: Yes"
"Attract","Attract"
"Bandwidth","Ancho de Banda"
"Billing Information","Información de Facturación"
"Billing","Facturación"
"Buy Now Text","Compre ahora por texto"
"CVV","CVV"
"Cached","En caché"
"Cancel","Cancelar"
"Change Plan","Cambiar de Plan"
"Changing Passwords","Cambiando Contraseña"
"Choose Plan","Elija Plan"
"Cinsay SSM","Cinsay SSM"
"Cinsay Smart Store Manager Login","Inicio de Sesión en la Tienda Inteligente de Cinsay "
"City","Ciudad"
"Click here to create your PayPal Business Standard/Advanced or Pro Account","Haz clic aquí para crear tu cuenta PayPal Negocios Estandar / Avanzada o Pro"
"Client Side Encryption Key","Encriptación de Clave para el lado del Cliente"
"Close Preview","Cerrar Vista Previa"
"Colors","Colores"
"Configure Shipping Rule","Configure la regla Envío"
"Country","País"
"Creating Players","Creación de Reproductores"
"Credit Card","Tarjeta de Crédito"
"Current Plan Usage","Plan actual en uso"
"Current Plan","Plan Actual"
"Custom","Personalizado"
"Customize your players by adding videos, products, and publishing options.","Personaliza tus reproductores añadiendo vídeos, productos y opciones de publicación."
"Default Currency","Moneda Predeterminada"
"Default Locale","Lugar Predeterminado"
"Default Tax Rate","Tasa de Impuesto Pedeterminada"
"Delete","Eliminar"
"Delivery Method","Método de Envio"
"Description","Descripción"
"Disclaimer","Renuncia"
"Donation Amounts","Monto para Donación"
"Donation Description","Descripción para Donación"
"Donation Name","Nombre de la Donación"
"Donation Type","Tipo de la Donación"
"Donation","Donación"
"Edit Video","Editar Video"
"Edit a Product","Editar Producto"
"Edit","Editar"
"Email Address","Dirección de Correo Electrónico"
"Email Address(es)","Dirección(es) de Correo Electrónico"
"Email Addresses","Direcciónes de Correo Electrónico"
"Email","Correo Electrónico"
"Email","Correo Electrónico"
"Embed Code","Código Integrado"
"Encrypted","Cifrado"
"End of Video Link","Fin del Enlace al Video"
"English (United States)","Inglés(Estados Unidos)"
"Enter the Video URL. Example","Ingrese la URL del Video. Ejemplo"
"Environment","Ambiente"
"Expiration Month","Mes de Vencimiento"
"Expiration Year","Año de Vencimiento"
"First Name","Primer Nombre"
"Flow background image","Flujo imagen de fondo"
"Forgot your password?","Olvidó su Clave?"
"Form Destination URL","Formulario de Destino de la URL"
"Form Email","Forma del Correo Elétronico"
"Form First Name","Forma del Primer Nombre"
"Form Last Name","Forma del Apellido"
"Form Phone Number","Forma del número Telefonico"
"Form Zip","Forma Zip"
"From Library","Desde la librería"
"From...","Desde..."
"GB","GB"
"General Information","Información General"
"General","General"
"Go Back","Ir Atrás"
"Go back","Ir Atrás"
"Headline","Titular"
"Help","Ayuda"
"Home","Inicio"
"Host and Post Two Part","Organizar y enviar en dos partes"
"Host and Post","Organizar y enviar"
"How to connect your PayPal account","Cómo conectar tu Cuenta PayPal"
