"$","$"
"$10/month","$10/month"
"+ add new","+ добавить"
"About Us","О нас"
"Account Help","Справка по учетной записи"
"Account Information","Информация"
"Account Name","Логин"
"Account Payments","Платежи"
"Account Settings","Параметры уч. записи"
"Account","Учетная запись"
"Active","Активен"
"Add Amount","Добавить сумму"
"Add Email","Добавить Email"
"Add New","Добаить новый"
"Add Player (+)","Добавить плеер (+)"
"Add Player","Добавить плеер"
"Add Video","Добавить видео"
"Add a Product","Добавить товар"
"Add more media to your player for more exposure.","Добавьте больше мультимедиа в плеер для представления."
"Add to Player","Добавить в плеер"
"Added to Price: Yes","Added to Price: Yes"
"Address","Адрес"
"Advanced Settings","Расширенные параметры"
"Advanced","Расширенные"
"Affiliate Tracking Link","Ссылка посредников"
"Amount","Сумма"
"Applies To: Texas","Applies To: Texas"
"Applies to Shipping: Yes","Applies to Shipping: Yes"
"Attract","Привлечение"
"Bandwidth","Объем трафика"
"Billing Information","Данные о плательщике"
"Billing","Оплата"
"Buy Now Text","Надпись Купить"
"CVV","CVV"
"Cached","Кэшировано"
"Cancel","Отмена"
"Change Plan","Change Plan"
"Changing Passwords","Смена паролей"
"Choose Plan","Выберите план"
"Cinsay SSM","Cinsay SSM"
"Cinsay Smart Store Manager Login","Логин в Cinsay Smart Store Manager"
"City","Город"
"Click here to create your PayPal Business Standard/Advanced or Pro Account","Нажмите сюда, чтобы создать учетную запись PayPal Business Standard/Advanced или Pro"
"Client Side Encryption Key","Client Side Encryption Key"
"Close Preview","Закрыть просмотр"
"Colors","Цвета"
"Configure Shipping Rule","Настроить правила доставки"
"Country","Страна"
"Creating Players","Создание плееров"
"Credit Card","Номер кредитной карты"
"Current Plan Usage","Использование плана"
"Current Plan","Текущий план"
"Custom","Custom"
"Customize your players by adding videos, products, and publishing options.","Настройте ваши плееры, добавив видеозаписи, товары и параметры публикации."
"Default Currency","Валюта по-умолчанию"
"Default Locale","Язык по-умолчанию"
"Default Tax Rate","Default Tax Rate"
"Delete","Удалить"
"Delivery Method","Способ доставки"
"Description","Описание"
"Disclaimer","Соглашение"
"Donation Amounts","Суммы для пожертвования"
"Donation Description","Описание"
"Donation Name","Название"
"Donation Type","Тип пожертвования"
"Donation","Пожертвование"
"Edit Video","Изменить видео"
"Edit a Product","Edit a Product"
"Edit","Изменить"
"Email Address","Email адрес"
"Email Address(es)","Email адрес(а)"
"Email Addresses","Email адреса"
"Email","Email"
"Embed Code","Код для встройки"
"Encrypted","Зашифровано"
"End of Video Link","Перейти по ссылке при окончании видео"
"English (United States)","Английский (США)"
"Enter the Video URL. Example","Введите ссылку на видео. Например, "
"Environment","Среда"
"Expiration Month","Месяц"
"Expiration Year","Год"
"First Name","Имя"
"Flow background image","Фоновое изображение"
"Forgot Password","Забыли пароль"
"Forgot your password?","Забыли пароль?"
"Form Destination URL","URL для отправки формы"
"Form Email","Email адрес для формы"
"Form First Name","Имя для формы"
"Form Last Name","Фамилия для формы"
"Form Phone Number","Телефонный номер для формы"
"Form Zip","Почтовый индекс для формы"
"From Library","Библиотека для формы"
"From...","От..."
"GB","Гб"
"General Information","Общая информация"
"General","Общие"
"Go Back","Назад"
"Go back","Go back"
"Headline","Заголовок"
"Help","Помощь"
"Home","Главная"
"Host and Post Two Part","Промо с прямой отправкой данных"
"Host and Post","Промо с косвенной отправкой данных"
"How to connect your PayPal account","Как подключить Ваш PayPal аккаунт"
"If you did not request a new password for your Cinsay account and feel that you have received the email that directed you here in error, please contact Cinsay support","Если Вы не просили установить новый пароль для Вашей учетной записи в Cinsay, пожалуйста, свяжитесь с нашей службой поддержки"
"Image (3Mb Limit)","Image (3Mb Limit)"
"Image (3Mb limit)","Image (3Mb limit)"
"Image","Изображение"
"Important Notes and restrictions","Важные замечания и ограничения"
